"ventRmId","Building","Room","Rm_Type","MERV-Filter","ACH","CO2 0-1K ppm_hrs","CO2 1-2K ppm_hrs","CO2 2-3K ppm_hrs","CO2 3-6K ppm_hrs","PCR Pos Count","Mean Occupants","Square Footage","Ceiling Height"
"ventRmId","building_list","Room","ventRmId","MERV-Filter","ACH","CO2 0-1K ppm_hrs","CO2 1-2K ppm_hrs","CO2 2-3K ppm_hrs","CO2 3-6K ppm_hrs","PCR Pos Count","Mean Occupants","Square Footage","Ceiling Height"
132,"Bld C","R37","CLASSROOM","MERV-11",0.2602060765719758,5.7,2.3,0.,0.,5,132,1037,8.297010607521697
133,"Bld C","R38","CLASSROOM","MERV-11",0.2738790296048525,4.3,3.6999999999999997,0.,0.,3,133,743,8.650684162853297
134,"Bld C","R39","CLASSROOM","MERV-11",0.4427681368381764,5.233333333333333,2.7666666666666666,0.,0.,6,134,805,8.
135,"Bld C","R40","CLASSROOM","MERV-11",0.18770453222032393,2.466666666666667,5.533333333333333,0.,0.,4,135,743,8.640029161507403
136,"Bld C","R41","CLASSROOM","MERV-11",0.34722365302379316,5.9,2.1,0.,0.,5,136,743,8.679004037685061
138,"Bld C","R43","CLASSROOM","MERV-11",0.22926657272097384,8.,0.,0.,0.,7,138,743,8.679004037685061
139,"Bld C","R44","CLASSROOM","MERV-11",0.1778648420789463,2.6,5.4,0.,0.,7,139,730,8.734560502739727
140,"Bld C","R45","CLASSROOM","MERV-11",0.688454002671909,6.166666666666667,1.8333333333333333,0.,0.,5,140,659,8.689681335356601
141,"Bld C","R46","CLASSROOM","MERV-11",0.43122879484211,8.,0.,0.,0.,3,141,846,8.759456264775414
142,"Bld C","R47","CLASSROOM","MERV-11",0.6502102778694197,7.933333333333334,0.06666666666666667,0.,0.,13,142,744,8.812634408602152
143,"Bld C","R48","CLASSROOM","MERV-11",0.5569620942117505,8.,0.,0.,0.,8,143,800,8.63010416625
144,"Bld C","R49","CLASSROOM","MERV-11",0.3154759770875636,4.9,3.1,0.,0.,3,144,714,8.601190476190476
145,"Bld C","R50","CLASSROOM","MERV-11",0.20701243478362613,2.9,5.1,0.,0.,7,145,939,8.221024139510119
147,"Bld C","R52","TREATMENT","MERV-11",0.5257315150256131,8.,0.,0.,0.,0,147,285,8.
148,"Bld C","R53","OFFICE","MERV-11",0.22830951910287792,4.1,3.9,0.,0.,0,148,330,8.
160,"Bld C","R65","MUSIC","MERV-11",0.874173639199193,6.933333333333334,1.0666666666666667,0.,0.,0,160,320,8.020833334375
161,"Bld C","R66","MUSIC","MERV-11",2.1624348456913283,7.666666666666667,0.3333333333333333,0.,0.,0,161,100,8.708333333
162,"Bld C","R67","MUSIC","MERV-11","",8.,0.,0.,0.,0,162,464,8.791666665948275
163,"Bld C","R68","MUSIC","MERV-11","",8.,0.,0.,0.,0,163,160,8.145833331250001
165,"Bld C","R70","OFFICE","MERV-11",0.8763648867839657,8.,0.,0.,0.,0,165,94,7.833333332978723
166,"Bld C","R71","THERAPY","MERV-11",0.21564373409209545,2.,6.,0.,0.,0,166,570,8.098684210526317
170,"Bld C","R75","OCEAN SUITE","MERV-11",0.36800191234272306,8.,0.,0.,0.,0,170,380,7.8333333342105265
171,"Bld C","R76","THERAPY","MERV-11",0.19005687515529687,1.9666666666666666,6.033333333333333,0.,0.,0,171,1872,8.580862713675215
177,"Bld C","R82","ACTIVITY","MERV-11",0.3833765358824696,7.8,0.2,0.,0.,0,177,570,7.40515350877193
184,"Bld C","R89","THERAPY","MERV-11",1.6129817871994252,6.8999999999999995,1.1,0.,0.,0,184,340,7.666666667647059
185,"Bld C","R90","THERAPY","MERV-11",0.26623992873995606,2.8666666666666667,5.133333333333333,0.,0.,0,185,98,8.
186,"Bld C","R91","THERAPY","MERV-11",0.526882433847033,8.,0.,0.,0.,0,186,708,8.833333333333334
192,"Bld C","R97","SPEECH","MERV-11",2.201542674052025,1.8333333333333333,6.166666666666667,0.,0.,0,192,307,7.802660153094463
195,"Bld C","R100","SPEECH","MERV-11",0.8893839030362587,7.133333333333333,0.8666666666666667,0.,0.,0,195,400,8.75
196,"Bld C","R101","BREAK","MERV-11",0.24958564640878847,2.6333333333333333,5.366666666666666,0.,0.,0,196,530,8.77555031509434
197,"Bld C","R102","BREAK","MERV-11",0.21666281530329906,8.,0.,0.,0.,0,197,360,8.
203,"Bld C","R108","TECHNOLOGY","MERV-11",0.2125603263696287,1.9,6.1,0.,0.,0,203,342,8.583333333333332
204,"Bld C","R109","OFFICE","MERV-11",0.36171667721674017,4.933333333333334,3.0666666666666664,0.,0.,0,204,171,7.958333333333333
207,"Bld C","R112","GYM","MERV-11",0.16394735038237457,4.6,3.4,0.,0.,0,207,98,8.
209,"Bld C","R114","THERAPY","MERV-11",0.9802186428736028,8.,0.,0.,0.,0,209,128,7.9583333359375
260,"Bld C","R119","SPEECH","MERV-11",0.2479065306205942,1.8333333333333333,6.166666666666667,0.,0.,0,260,215,7.916666665116279
